"ID","dataset_name","hclust_4","hclust_5","hclust_6","kmeans_4","kmeans_5","kmeans_6","coordinate_1","coordinate_2"
2,"badges2",1,1,1,2,2,4,0.540319312057485,0.415899344954101
3,"banknote",1,1,1,2,2,4,0.318273681241162,-0.280735677558009
4,"blood-transfusion-service-center",1,1,1,2,2,4,0.525763898329761,0.15940319383279
7,"climate-model-simulation-crashes",1,1,1,2,2,4,0.284945057991699,0.352826852591589
8,"cmc",1,1,1,2,2,4,0.208416244030101,-0.207221170560046
9,"credit-g",2,2,2,4,3,1,3.83406740769185,-1.08359019078089
10,"diabetes",1,1,1,2,2,4,0.458872742822829,0.198262199627592
11,"eucalyptus",2,2,2,2,2,4,1.30926979627368,-0.102083140588736
12,"iris",3,3,3,3,4,3,0.739470779907589,2.85013535883119
13,"kc1",1,1,1,2,2,4,-0.362974215483339,-0.332938802486219
15,"mfeat-karhunen",3,3,4,3,4,2,-2.38138644827159,2.41533303757534
16,"mfeat-zernike",1,4,5,1,1,5,-1.09337062505385,0.0580546261219063
17,"ozone-level-8hr",1,4,5,1,1,5,-2.27199935215998,0.153059951588958
18,"pc4",1,4,5,2,1,5,-0.566607396182775,0.204719702072894
19,"phoneme",4,5,6,1,5,6,-0.44434722622766,-1.21331190914879
20,"qsar-biodeg",1,4,5,2,1,5,-0.514455542755811,0.472340492608833
21,"tic-tac-toe",2,2,2,4,3,1,2.4358543697078,-0.623348289602231
22,"vowel",1,1,1,2,2,4,0.340750861507182,-0.0206487556408846
23,"waveform-5000",4,5,6,1,5,6,-2.18066510179413,-1.70283885160922
24,"wdbc",1,4,5,2,2,4,-0.0984904086734642,0.526735026810043
25,"wilt",4,5,6,1,5,6,-1.08170783495853,-2.24005299864022
