instance_level,dataset_type,n_datasets,n_methods,n_noise_levels,mean_kappa_loss,sd_kappa_loss,min_kappa_loss,max_kappa_loss,mean_accuracy,sd_accuracy,min_accuracy,max_accuracy
0.1,original,20,21,3,0.011238095238095231,0.029664158986536952,0,0.42,0.9964873015873016,0.006781322573233999,0.908,1
0.1,train_noise,20,21,3,0.009332539682539684,0.02306367305939108,0,0.319,0.9972309523809524,0.004899611180464446,0.945,1
0.2,original,20,21,3,0.021449999999999986,0.04581332646350966,0,0.614,0.9929587301587302,0.013084555889834317,0.818,1
0.2,train_noise,20,21,3,0.017381746031746036,0.03638379152957116,0,0.513,0.9945595238095238,0.00929118295965282,0.891,1
0.25,original,20,21,3,0.026000000000000013,0.05216913594296676,0,0.683,0.9912769841269842,0.016246373886123724,0.769,1
0.25,train_noise,20,21,3,0.02118492063492063,0.04201047482272571,0,0.579,0.9932325396825397,0.011428851145290329,0.862,1
0.3,original,20,21,3,0.030534920634920644,0.05792439447565233,0,0.732,0.9896261904761905,0.019342425307356904,0.725,1
0.3,train_noise,20,21,3,0.024780952380952372,0.04701232277961949,0,0.647,0.991929365079365,0.013668976413654098,0.833,1
0.4,original,20,21,3,0.03931746031746033,0.06745311680963031,0,0.81,0.9862984126984127,0.025549867090850484,0.633,1
0.4,train_noise,20,21,3,0.03249126984126983,0.05637395637950094,0,0.748,0.9891722222222222,0.018142924491839383,0.777,1
0.5,original,20,21,3,0.04810000000000001,0.07673646866719054,0,0.862,0.9830373015873016,0.03150492285782539,0.545,1
0.5,train_noise,20,21,3,0.04003015873015875,0.06491642365642242,0,0.811,0.9864214285714286,0.022558286016742497,0.72,1
0.6,original,20,21,3,0.05655317460317462,0.0846475543002184,0,0.904,0.9796468253968253,0.03789559501795124,0.45,1
0.6,train_noise,20,21,3,0.04735079365079364,0.07335446571514619,0,0.863,0.9837817460317461,0.026855997893254942,0.663,1
0.7,original,20,21,3,0.06536825396825399,0.09284586768978005,0,0.936,0.9761992063492063,0.04414951309941347,0.359,1
0.7,train_noise,20,21,3,0.05458253968253969,0.08103293839876789,0,0.914,0.9811563492063492,0.031108590448416722,0.61,1
0.75,original,20,21,3,0.06978492063492064,0.09697046672360701,0,0.949,0.9744769841269841,0.04730702057646241,0.313,1
0.75,train_noise,20,21,3,0.05812301587301587,0.08504271660623149,0,0.937,0.9798547619047618,0.03330226483398287,0.583,1
0.8,original,20,21,3,0.07420793650793651,0.1012620579730455,0,0.962,0.9727349206349206,0.05056872315287599,0.264,1
0.8,train_noise,20,21,3,0.0618968253968254,0.08948430752112385,0,0.955,0.9785396825396825,0.03553600704304236,0.556,1
0.9,original,20,21,3,0.08287698412698413,0.10911691135455633,0,0.983,0.9693928571428572,0.05690278861039774,0.17,1
0.9,train_noise,20,21,3,0.06907539682539679,0.09724528177287721,0,0.982,0.9756817460317461,0.0401596237209667,0.5,1
1,original,20,21,3,0.09166587301587302,0.11725129097937548,0,1,0.9658357142857142,0.06327834167316966,0.079,1
1,train_noise,20,21,3,0.0763904761904762,0.10438421073955105,0,0.998,0.972931746031746,0.044560746751367314,0.444,1
