"instances_n","attributes_num","attributes_nom","dataset_type","K"
2.24747123774841,-0.310761415668836,-0.330404352343586,-0.418121005003545,4
-0.527003928643951,-0.532230326268366,2.53310003463416,-0.418121005003545,4
-0.331265798177847,-0.125567585253712,-0.330404352343586,-0.418121005003545,4
0.0347127108830455,1.13451414746775,-0.330404352343586,2.2996655275195,4
0.379257120232384,4.25608025807319,-0.330404352343586,2.2996655275195,5
2.24747123774841,-0.310761415668836,-0.330404352343586,-0.418121005003545,5
-0.080135425566734,0.0939921105992697,-0.330404352343586,2.2996655275195,5
-0.331265798177847,-0.125567585253712,-0.330404352343586,-0.418121005003545,5
-0.527003928643951,-0.532230326268366,2.53310003463416,-0.418121005003545,5
-0.607429115949007,-0.438505238710571,-0.185782918657842,-0.418121005003545,6
0.379257120232384,4.25608025807319,-0.330404352343586,2.2996655275195,6
2.24747123774841,-0.310761415668836,-0.330404352343586,-0.418121005003545,6
-0.080135425566734,0.0939921105992697,-0.330404352343586,2.2996655275195,6
0.112388422658244,0.407103329033087,-0.330404352343586,-0.418121005003545,6
-0.436937408643892,-0.612417345623368,3.16943434285144,-0.418121005003545,6
