"dataset_name","most_important_attribute"
"analcatdata_authorship","her"
"analcatdata_authorship","be"
"analcatdata_authorship","any"
"analcatdata_authorship","at"
"analcatdata_authorship","not"
"analcatdata_authorship","to"
"analcatdata_authorship","an"
"analcatdata_authorship","a"
"badges2","second_char_vowel"
"banknote","variance"
"banknote","skewness"
"blood-transfusion-service-center","V2"
"blood-transfusion-service-center","V3"
"blood-transfusion-service-center","V4"
"blood-transfusion-service-center","V1"
"breast-w","Clump_Thickness"
"breast-w","Cell_Size_Uniformity"
"breast-w","Bare_Nuclei"
"breast-w","Marginal_Adhesion"
"breast-w","Cell_Shape_Uniformity"
"cardiotocography","V27"
"cardiotocography","V26"
"cardiotocography","V31"
"cardiotocography","V35"
"cardiotocography","V6"
"climate-model-simulation-crashes","vconst_2"
"climate-model-simulation-crashes","vconst_corr"
"climate-model-simulation-crashes","bckgrnd_vdc1"
"cmc","Number_of_children_ever_born"
"cmc","Wifes_age"
"credit-g","checking_status"
"credit-g","duration"
"credit-g","credit_amount"
"diabetes","plas"
"eucalyptus","Vig"
"eucalyptus","Sp"
"eucalyptus","Abbrev"
"eucalyptus","Locality"
"iris","petallength"
"iris","petalwidth"
"kc1","l"
"kc1","d"
"kc1","total_Opnd"
"kc1","i"
"kc1","total_Op"
"kc1","lOBlank"
"kc1","uniq_Op"
"kc1","t"
"kc1","v"
"liver-disorders","gammagt"
"liver-disorders","sgpt"
"liver-disorders","alkphos"
"liver-disorders","sgot"
"mfeat-karhunen","att1"
"mfeat-karhunen","att4"
"mfeat-karhunen","att7"
"mfeat-karhunen","att2"
"mfeat-karhunen","att3"
"mfeat-karhunen","att5"
"mfeat-zernike","att19"
"mfeat-zernike","att4"
"mfeat-zernike","att46"
"mfeat-zernike","att29"
"ozone-level-8hr","V41"
"ozone-level-8hr","V42"
"ozone-level-8hr","V33"
"ozone-level-8hr","V65"
"ozone-level-8hr","V56"
"ozone-level-8hr","V31"
"ozone-level-8hr","V72"
"ozone-level-8hr","V21"
"ozone-level-8hr","V1"
"ozone-level-8hr","V18"
"ozone-level-8hr","V57"
"ozone-level-8hr","V10"
"ozone-level-8hr","V11"
"pc4","LOC_CODE_AND_COMMENT"
"pc4","HALSTEAD_VOLUME"
"pc4","NODE_COUNT"
"pc4","MODIFIED_CONDITION_COUNT"
"phoneme","V1"
"phoneme","V4"
"phoneme","V3"
"qsar-biodeg","V3"
"qsar-biodeg","V1"
"qsar-biodeg","V38"
"qsar-biodeg","V36"
"qsar-biodeg","V25"
"qsar-biodeg","V13"
"qsar-biodeg","V7"
"qsar-biodeg","V20"
"qsar-biodeg","V39"
"qsar-biodeg","V14"
"qsar-biodeg","V8"
"tic-tac-toe","middle_middle_square"
"vowel","Feature_1"
"vowel","Feature_5"
"vowel","Feature_0"
"waveform-5000","x11"
"waveform-5000","x12"
"wdbc","V28"
"wdbc","V24"
"wdbc","V22"
"wdbc","V23"
"wdbc","V4"
"wdbc","V1"
"wdbc","V14"
"wdbc","V21"
"wilt","Mean_R"
"wilt","Mean_G"
"wilt","GLCM_Pan"
